OBJECTID,ID,LinkID,Width,Center_X,Center_Y,Start_X,Start_Y,End_X,End_Y,NEAR_FID,NEAR_DIST,NEAR_ANGLE
4462,61282,61282,18,587472.4665,4513255.027,587453.8354,4513220.834,587491.0976,4513289.22,2,1980.59804,100.1586675
4463,61283,61283,7.2,587549.0977,4513170.723,587453.8354,4513220.834,587644.3599,4513120.612,2,2041.921924,98.79091594
4464,61285,61285,18,587545.9968,4513397.173,587491.0976,4513289.22,587600.896,4513505.126,2,1793.407964,104.8332895
4465,61286,61286,7.2,587744.2669,4513063.453,587644.3599,4513120.612,587844.1739,4513006.294,2,2176.966649,103.3481194
4466,61287,61287,10.8,587605.9542,4513048.991,587644.3599,4513120.612,587567.5485,4512977.371,2,2176.966649,103.3481194
4467,61289,61289,10.8,587662.3363,4513153.021,587680.3126,4513185.431,587644.3599,4513120.612,2,2122.786566,104.6963291
4468,61290,61290,21.6,587388.1177,4513757.355,587330.8351,4513651.151,587445.4003,4513863.558,2,1408.330139,102.4504855
4469,61291,61291,21.6,587465.826,4513902.88,587445.4003,4513863.558,587486.2517,4513942.201,2,1341.548818,104.879022
4470,61292,61292,14.4,587514.3272,4513827.069,587445.4003,4513863.558,587583.254,4513790.58,2,1408.330139,102.4504855
4471,61293,61293,18,587659.9048,4513611.463,587600.896,4513505.126,587718.9136,4513717.801,2,1626.787401,110.7796515
4472,61294,61294,10.8,587469.7245,4513576.185,587583.254,4513790.58,587356.1949,4513361.791,2,1513.987027,106.953975
4473,61295,61295,14.4,587651.0838,4513754.19,587583.254,4513790.58,587718.9136,4513717.801,2,1513.987027,106.953975
4474,61296,61296,10.8,587601.9807,4513827.217,587620.7074,4513863.855,587583.254,4513790.58,2,1455.942487,109.2052622
4475,61298,61298,7.2,587938.0523,4512955.894,587844.1739,4513006.294,588031.9306,4512905.494,2,2340.366072,107.4651453
4476,61299,61299,10.8,587700.5326,4513220.809,587720.7526,4513256.187,587680.3126,4513185.431,2,2065.392759,106.2796366
4477,61300,61300,3.6,587780.7301,4513131.442,587881.1476,4513077.454,587680.3126,4513185.431,2,2122.786566,104.6963291
4478,61302,61302,7.2,587977.5984,4513027.196,587881.1476,4513077.454,588074.0491,4512976.938,2,2284.284822,108.8856247
4479,61304,61304,18,587777.7594,4513826.913,587718.9136,4513717.801,587836.6052,4513936.025,2,1476.460912,118.0738004
4480,61306,61306,14.4,587813.6467,4513665.688,587718.9136,4513717.801,587908.3797,4513613.576,2,1626.787401,110.7796515
4481,61307,61307,14.4,588009.816,4513558.771,587908.3797,4513613.576,588111.2522,4513503.965,2,1796.924918,115.2534374
4482,61310,61310,3.6,587933.5537,4513885.55,588030.5022,4513835.076,587836.6052,4513936.025,2,1476.460912,118.0738004
4483,61311,61311,3.6,587359.8478,4514193.231,587425.6304,4514158.203,587294.0652,4514228.26,2,1021.92005,98.57061889
4484,61312,61312,10.8,587504.0188,4514302.682,587425.6304,4514158.203,587582.4071,4514447.162,2,905.9806493,119.1019149
